
Red
16504,9
16504,19
16505,24
16505,28
16506,36
16506,39
16507,45
16514,78
16524,106
16535,121
16546,129
16558,133
16570,137
16581,137
16592,138
16604,142
16615,142
16626,140
16638,142
16650,144
16661,144
16672,144
16684,144
16696,144
16707,144
16718,146
16730,148
16741,146
16752,148
16764,148
16776,146
16787,148
16798,146
16809,146
16821,146
16833,146
16844,148
16856,146
16867,146
16878,148
16889,148
16902,148
16913,148
16924,146
16935,148
16947,146
16958,148
16970,150
16982,148
16993,148
Green
17011,-260
17024,47
17035,65
17045,71
17055,77
17065,71
17076,71
17086,71
17097,77
17107,83
17118,83
17128,77
17138,77
17148,77
17159,77
17170,83
17180,83
17190,83
17201,83
17211,83
17221,77
17232,77
17243,83
17253,77
17263,83
17273,83
17284,83
17295,77
17305,77
17315,88
17326,83
17336,88
17346,77
17356,83
17368,83
17378,83
17388,83
17398,83
17409,77
17419,77
17430,83
17440,83
17451,88
17461,77
17471,77
17481,83
17491,83
17503,83
17513,83
17523,83
Blue
17540,-9
17550,101
17562,96
17572,91
17583,91
17593,86
17603,81
17613,86
17624,86
17635,81
17645,86
17655,81
17666,81
17676,81
17686,76
17697,76
17708,81
17718,81
17728,76
17738,76
17748,81
17759,81
17770,76
17780,76
17790,76
17801,76
17811,76
17821,76
17832,76
17843,76
17853,76
17863,81
17873,76
17884,76
17895,81
17905,76
17915,76
17926,76
17936,76
17946,72
17956,81
17968,81
17978,76
17988,76
17998,76
18009,76
18019,76
18030,76
18040,76
18051,76

